시도명,시군구명,업종,업소명,주요품목, 가격 ,도로명주소,지번주소,위도,경도,데이터기준일자
강원특별자치도,춘천시,기타요식업,춘천커피,아메리카노,2000원,강원특별자치도 춘천시 서부대성로48번길 11-1,강원특별자치도 춘천시 요선동 9-22,37.88215472,127.7279923,2025-07-11
강원특별자치도,춘천시,한식_면류,와송칼국수,칼국수,7000원,강원특별자치도 춘천시 명동길 46-1,강원특별자치도 춘천시 중앙로3가 60-4,37.87723778,127.7243874,2025-07-11
강원특별자치도,춘천시,한식_일반,골목손두부,두부전골,9000원,강원특별자치도 춘천시 공지로439번길 16-4,강원특별자치도 춘천시 근화동 291-19,37.87265058,127.7195732,2025-07-11
강원특별자치도,춘천시,기타요식업,메이카드,아메리카노,3500원,강원특별자치도 춘천시 복골길6번길 21,강원특별자치도 춘천시 후평동 811-9,37.87436042,127.7555444,2025-07-11
강원특별자치도,춘천시,한식_일반,금산닭갈비,닭갈비,12000원,강원특별자치도 춘천시 서면 박사로 928,강원특별자치도 춘천시 서면 금산리 999-3,37.89826147,127.6941773,2025-07-11
강원특별자치도,춘천시,한식_일반,봉수닭갈비막국수,닭갈비,13000원,강원특별자치도 춘천시 서부대성로227번길 3-1,강원특별자치도 춘천시 효자동 626-14,37.87353394,127.7435401,2025-07-11
강원특별자치도,춘천시,한식_일반,장군닭갈비,닭갈비,13000원,강원특별자치도 춘천시 춘주로147번길 12-6,강원특별자치도 춘천시 퇴계동 912-1,37.85933278,127.7256272,2025-07-11
강원특별자치도,춘천시,한식_면류,홍두깨장칼국수,장칼국수,8500원,강원특별자치도 춘천시 춘주로147번길 12-4,강원특별자치도 춘천시 퇴계동 912,37.85941911,127.7254634,2025-07-11
강원특별자치도,춘천시,한식_일반,밥보네집,제육볶음정식,6000원,강원특별자치도 춘천시 서부대성로239번길 4,강원특별자치도 춘천시 효자동 632,37.87300509,127.7449367,2025-07-11
강원특별자치도,춘천시,한식_일반,금옥,동치미 막국수,8000원,강원특별자치도 춘천시 동면 금옥길 289-27,강원특별자치도 춘천시 동면 월곡리 274-1,37.92298646,127.8068328,2025-07-11
강원특별자치도,춘천시,한식_일반,임가네,소고기무국,8000원,강원특별자치도 춘천시 새롬공원길 25,강원특별자치도 춘천시 석사동 832-1,37.85440235,127.7470757,2025-07-11
강원특별자치도,춘천시,한식_일반,동이만두,김치찌개,6000원,강원특별자치도 춘천시 효제길 36,강원특별자치도 춘천시 효자동 162-6,37.87095664,127.7370504,2025-07-11
강원특별자치도,춘천시,한식_일반,우두동밥집,한식뷔페,8000원,강원특별자치도 춘천시 충열로 151,강원특별자치도 춘천시 우두동 442-8,37.90643532,127.7394433,2025-07-11
강원특별자치도,춘천시,중식,석사반점,자장면,4000원,강원특별자치도 춘천시 효석로67번길 25,강원특별자치도 춘천시 석사동 694-2,37.86256196,127.7393615,2025-07-11
강원특별자치도,춘천시,한식_일반,더밥,제육덮밥,7900원,강원특별자치도 춘천시 춘주로91번길 10,강원특별자치도 춘천시 온의동 522-4,37.86255523,127.7205379,2025-07-11
강원특별자치도,춘천시,한식_일반,수제돈가스,돈가스정식,7000원,강원특별자치도 춘천시 명동길 43,강원특별자치도 춘천시 죽림동 12-1,37.87732609,127.7248536,2025-07-11
강원특별자치도,춘천시,한식_육류,하나축산 정육식당,생목삼겹살(국내산 200g),13000원,강원특별자치도 춘천시 우묵길56번길 12,강원특별자치도 춘천시 퇴계동 1189-4,37.86534835,127.7231599,2025-07-11
강원특별자치도,춘천시,기타요식업,블루밍,아메리카노,2000원,강원특별자치도 춘천시 옥천길54번길 26-1,강원특별자치도 춘천시 옥천동 14-61,37.88199562,127.7320015,2025-07-11
강원특별자치도,춘천시,한식_일반,오믈하우스,오므라이스,5000원,강원특별자치도 춘천시 서부대성로227번길 24,강원특별자치도 춘천시 효자동 631,37.8733704,127.7451817,2025-07-11
강원특별자치도,춘천시,한식_면류,원식이네칼국수,해물칼국수,8000원,강원특별자치도 춘천시 후석로 591,강원특별자치도 춘천시 소양로1가 104-7,37.89355758,127.7279499,2025-07-11
강원특별자치도,춘천시,한식_면류,이서냉면,냉면,7000원,강원특별자치도 춘천시 우석로 14-1,강원특별자치도 춘천시 석사동 771-10,37.86193715,127.7476663,2025-07-11
강원특별자치도,춘천시,한식_면류,박사로냉면,냉면,8000원,강원특별자치도 춘천시 서면 박사로 839,강원특별자치도 춘천시 서면 현암리 310,37.89196316,127.6896399,2025-07-11
강원특별자치도,춘천시,한식_면류,화동손칼국수,장칼국수,7500원,강원특별자치도 춘천시 춘천로 205-1,강원특별자치도 춘천시 효자동 640-5,37.87740042,127.7367684,2025-07-11
강원특별자치도,춘천시,한식_일반,왕짱구,꼬마김밥(8줄),3500원,강원특별자치도 춘천시 춘천로 195,강원특별자치도 춘천시 효자동 641-3,37.87699236,127.735706,2025-07-11
강원특별자치도,춘천시,이미용업,현주헤어숍,커트,7000원,강원특별자치도 춘천시 효석로89번길 19,강원특별자치도 춘천시 석사동 698-7,37.86027224,127.7406379,2025-07-11
강원특별자치도,춘천시,이미용업,가고파미용실,커트,5000원,강원특별자치도 춘천시 안마산로 216,강원특별자치도 춘천시 퇴계동 945,37.84951721,127.7376465,2025-07-11
강원특별자치도,춘천시,이미용업,개성시대미용실,커트,8000원,강원특별자치도 춘천시 춘천로68번길 10,강원특별자치도 춘천시 효자동 683-16,37.87006642,127.7254775,2025-07-11
강원특별자치도,춘천시,이미용업,박혜숙헤어,커트,8000원,강원특별자치도 춘천시 춘천로 309번길 7,강원특별자치도 춘천시 후평동 706-13,37.85469402,127.7486868,2025-07-11
강원특별자치도,춘천시,이미용업,쌍다리이용소,커트,5000원,강원특별자치도 춘천시 춘천순환로 42,강원특별자치도 춘천시 석사동 283-15,37.8610319,127.7193642,2025-07-11
강원특별자치도,춘천시,이미용업,진미용실,커트,7000원,강원특별자치도 춘천시 춘주로 92번길 11,강원특별자치도 춘천시 온의동 543-10,37.8805031,127.726934,2025-07-11
강원특별자치도,춘천시,이미용업,펑펑펑미용실,커트,7000원,강원특별자치도 춘천시 중앙로 70,강원특별자치도 춘천시 중앙로2가 82-8,37.88229933,127.7467318,2025-07-11
강원특별자치도,춘천시,이미용업,홍혜린머리방,커트,7000원,강원특별자치도 춘천시 터미널길14번길 3,강원특별자치도 춘천시 온의동 120-2,37.86478476,127.718697,2025-07-11
강원특별자치도,춘천시,이미용업,송혜진미용실,커트,9000원,강원특별자치도 춘천시 신흥길5번길 8-6,강원특별자치도 춘천시 우두동 1054-10,37.90057111,127.7273984,2025-07-11
강원특별자치도,춘천시,이미용업,동네미용실,커트,10000원,강원특별자치도 춘천시 동내면 영서로 1747,강원특별자치도 춘천시 동내면 학곡리 279-9,37.83277014,127.7612937,2025-07-11
강원특별자치도,춘천시,이미용업,가위소리 머리방,커트,12000원,강원특별자치도 춘천시 신북읍 율문길 105,강원특별자치도 춘천시 신북읍 율문리 276-11,37.92493732,127.7492424,2025-07-11
강원특별자치도,춘천시,이미용업,헤어티,커트,10000원,강원특별자치도 춘천시 후석로 459,강원특별자치도 춘천시 후평동 595,37.8894695,127.740808,2025-07-11
강원특별자치도,춘천시,이미용업,오드리 햅번,커트,13000원,강원특별자치도 춘천시 옛경춘로 492,강원특별자치도 춘천시 칠전동 529-1,37.84278277,127.7098596,2025-07-11
강원특별자치도,춘천시,이미용업,왕언니네미장원,커트,6000원,강원특별자치도 춘천시 중앙로 77-2,강원특별자치도 춘천시 중앙로2가 116,37.87879776,127.7256867,2025-07-11
강원특별자치도,춘천시,이미용업,숙헤어벨,커트,5000원,강원특별자치도 춘천시 공지로 432-1,강원특별자치도 춘천시 근화동 710-17,37.87370977,127.7194753,2025-07-11
강원특별자치도,춘천시,이미용업,짱미용실,커트,10000원,강원특별자치도 춘천시 지석로 80,강원특별자치도 춘천시 퇴계동 1017,37.85051888,127.7437605,2025-07-11
강원특별자치도,춘천시,이미용업,박설매헤어,커트,10000원,강원특별자치도 춘천시 서부대성로 126-1,강원특별자치도 춘천시 운교동 186-1,37.87836459,127.7340146,2025-07-11
강원특별자치도,춘천시,이미용업,큰별미용실,커트,5000원,강원특별자치도 춘천시 춘천로81번길 38,강원특별자치도 춘천시 약사동 128-8,37.87334367,127.7222502,2025-07-11
강원특별자치도,춘천시,이미용업,이미경헤어클릭,커트,10000원,강원특별자치도 춘천시 충열로 10-5,강원특별자치도 춘천시 우두동 1066-23,37.90020748,127.7294964,2025-07-11
강원특별자치도,춘천시,숙박업,계림산장,특실(1인),30000원,강원특별자치도 춘천시 스포츠타운길 340,강원특별자치도 춘천시 삼천동 295-2,37.87147158,127.6961438,2025-07-11
